variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
demean+hpca,True,1,val,22,0.008664844981597579,0.05568133964793882,0.1276674061569951,3,hpc1_pc13,-0.1600671145110422,2,1.2067,0.0834
demean+zca,True,1,val,62,0.0077144708578168976,0.0531379357084063,0.12747419846990393,3,trend__acc52_104,-0.13572960964346373,6,1.3582,0.0453
raw+hpca,True,1,val,20,0.00869184447579115,0.05579240785533392,0.12445780908516442,3,hpc2_pc12,0.165036149501296,3,1.1967,0.0924
kalman+hpca,True,1,val,20,0.008585811333485465,0.05547756031652427,0.11468461558514513,2,hpc1_pc1,-0.15273847814580152,3,1.1967,0.0925
raw+pca,True,1,val,20,0.007649608247277319,0.04962445922416733,0.0932715386032796,1,pc2,-0.14670938005294884,0,1.1967,0.05
kalman+pca,True,1,val,16,0.006542368437897543,0.040906791765281114,0.08590141211177336,1,pc2,-0.14650556821514849,0,1.1751,0.0625
signal+demean+hpca,True,1,val,19,0.005879084465302725,0.03387002185265207,0.0781734508328871,1,hpc8_pc1,-0.15316307057278508,6,1.1915,0.3033
ssa+none,False,5,val,62,0.11294772514350991,0.7039720145950574,2.1535534845905016,39,trend__rel6,2.8488060352421054,6,1.3582,0.3154
ssa+zca,False,5,val,62,0.0598188948222301,0.42158821924255646,1.8967014153678998,25,trend__rel6,2.746765549222559,0,1.3582,0.0161
ssa+hpca,False,5,val,23,0.09717026659496385,0.6496134919892286,1.3789722773234048,12,hpc6_pc1,1.4799754815974415,7,1.2116,0.1153
ssa+pca,False,5,val,15,0.08857663810868725,0.6381283797678047,1.1747972762771304,12,pc3,1.3175080776015569,0,1.1693,0.0667
demean+zca,True,5,val,62,0.01261702605070403,0.08794644753322738,0.23857541972171833,1,volume__price_zvel12_26,0.32705838127091885,6,1.3582,0.0453
kalman+zca,True,5,val,62,0.012754812140423023,0.08942975026778392,0.23058454869358017,1,volume__price_zvel12_26,0.3188011970020203,5,1.3582,0.0453
raw+zca,True,5,val,62,0.012202887522720827,0.08561645239780968,0.2283828264923594,1,volume__price_zvel12_26,0.31466096783408287,6,1.3582,0.0453
demean+hpca,True,5,val,22,0.014328210917056699,0.09678713764133554,0.2050883286911021,1,hpc1_pc13,-0.2997068338062723,2,1.2067,0.0834
raw+none,True,5,val,62,0.01590568704794453,0.09520530019666885,0.19554161171719314,0,volume__price_zvel12_26,0.2585227361417739,7,1.3582,0.3006
demean,True,5,val,62,0.01590568704794453,0.09520530019666885,0.19554161171719314,0,volume__price_zvel12_26,0.2585227361417739,7,1.3582,0.291
volnorm_cs,True,5,val,62,0.01590568704794453,0.09520530019666885,0.19554161171719314,0,volume__price_zvel12_26,0.2585227361417739,7,1.3582,0.3006
raw+hpca,True,5,val,20,0.013696516311409626,0.09177615391960439,0.19552533822482923,1,hpc2_pc12,0.3173450314005831,3,1.1967,0.0924
kalman+none,True,5,val,62,0.016636382234185364,0.09964426397757686,0.1953851748496115,0,volume__price_zvel12_26,0.2585227361417739,8,1.3582,0.3045
kalman+hpca,True,5,val,20,0.014887893058596344,0.10285603428988259,0.1952009700858433,1,hpc2_pc10,-0.33517823431096005,3,1.1967,0.0925
kalman+pca,True,5,val,16,0.015728721672875663,0.10786571395411704,0.1894138767993983,0,pc8,-0.2666670606338436,0,1.1751,0.0625
raw+pca,True,5,val,20,0.015087294244171259,0.1029418109575471,0.18511301044252082,0,pc8,-0.24901165592694982,0,1.1967,0.05
signal+demean,True,5,val,62,0.016656206226117302,0.0973209383779274,0.16804829912264685,0,candle__body_size,-0.1799740054077095,7,1.3582,0.3572
signal+demean+hpca,True,5,val,19,0.012196718094832587,0.07586999900678888,0.13624558645361715,0,hpc8_pc1,-0.15757516052824524,6,1.1915,0.3033
ssa+zca,False,10,val,62,0.07865983468424596,0.5968309764642342,2.973839991507747,25,trend__rel6,5.396276450422074,0,1.3582,0.0161
ssa+none,False,10,val,62,0.09699141021982789,0.6279154948355298,2.084965697911959,32,trend__rel6,3.073733291030101,6,1.3582,0.3154
ssa+hpca,False,10,val,23,0.09058390438914125,0.6191787078050234,1.247867463159404,12,trend__minus_di,-1.571169219578922,7,1.2116,0.1153
ssa+pca,False,10,val,15,0.08376891005622163,0.6102600603286322,1.0686200354747486,9,pc11,-1.5628077408815644,0,1.1693,0.0667
demean+zca,True,10,val,62,0.016401047888873185,0.11915200696420052,0.35413570552914664,1,volume__price_zvel12_26,0.4115316185303464,6,1.3582,0.0453
raw+zca,True,10,val,62,0.015571208958829408,0.11425245338503165,0.33983786709371494,0,volume__price_zvel12_26,0.38488702250126,6,1.3582,0.0453
kalman+zca,True,10,val,62,0.015909542871228675,0.11657244975432307,0.3386541810607552,0,volume__price_zvel12_26,0.3884480989458668,5,1.3582,0.0453
raw+none,True,10,val,62,0.024007516834057826,0.15254677074493472,0.3203679729006568,0,volume__price_zvel12_26,0.3981147582666186,7,1.3582,0.3006
demean,True,10,val,62,0.024007516834057826,0.15254677074493472,0.3203679729006568,0,volume__price_zvel12_26,0.3981147582666186,7,1.3582,0.291
volnorm_cs,True,10,val,62,0.024007516834057826,0.15254677074493472,0.3203679729006568,0,volume__price_zvel12_26,0.3981147582666186,7,1.3582,0.3006
kalman+none,True,10,val,62,0.025098536974563945,0.15950721656692235,0.3195796547574877,0,volume__price_zvel12_26,0.3981147582666186,8,1.3582,0.3045
signal+demean,True,10,val,62,0.0270759549189518,0.16992995090331467,0.28573781307520546,0,momentum__rsi_long_raw,0.3016937923763244,7,1.3582,0.3572
kalman+hpca,True,10,val,20,0.01987525591508836,0.13911236647939124,0.28414970474225837,0,hpc2_pc10,-0.3965352933551144,3,1.1967,0.0925
demean+hpca,True,10,val,22,0.019797770165148755,0.13781553432336735,0.2735016394575467,0,hpc1_pc13,-0.31431637894111014,2,1.2067,0.0834
raw+hpca,True,10,val,20,0.01892050344979395,0.1317093754022697,0.2731145507614925,0,hpc2_pc12,0.3462136876184223,3,1.1967,0.0924
kalman+pca,True,10,val,16,0.02169484124971894,0.14845586098486221,0.2501212265571725,0,pc8,-0.32444428287013827,0,1.1751,0.0625
signal+demean+hpca,True,10,val,19,0.022104631841211673,0.14096412408024367,0.24427868557946364,0,hpc2_pc1,0.2827435048006782,6,1.1915,0.3033
raw+pca,True,10,val,20,0.019635404600097793,0.13364571520178203,0.2440880300599595,0,pc8,-0.31648844459765263,0,1.1967,0.05
ssa+zca,False,21,val,62,0.07370271553436362,0.5626122765184546,2.477970081691505,20,momentum__rsi_short_position,-3.803944254944505,0,1.3582,0.0161
ssa+none,False,21,val,62,0.059907386619835794,0.45337213003246757,1.4356091496629821,15,trend__rel6,2.060999050027043,6,1.3582,0.3154
ssa+hpca,False,21,val,23,0.05479213011253918,0.4157164251653143,0.8730937738074747,5,trend__minus_di,-1.1971535569312277,7,1.2116,0.1153
ssa+pca,False,21,val,15,0.05958233124099357,0.4584897025476616,0.6702599157114688,4,pc11,-0.8491272268838819,0,1.1693,0.0667
signal+demean,True,21,val,62,0.03130534736939719,0.23807324620328613,0.5596824889154891,0,candle__body_size,-0.5750930697299521,7,1.3582,0.3572
raw+none,True,21,val,62,0.028798116989729342,0.21849052244891212,0.5546286601650542,1,volatility__atr_norm,-0.5846651894080519,7,1.3582,0.3006
kalman+none,True,21,val,62,0.030488114369542497,0.2309434325795104,0.5546286601650542,1,volatility__atr_norm,-0.5846651894080519,8,1.3582,0.3045
demean,True,21,val,62,0.028798116989729342,0.21849052244891212,0.5546286601650542,1,volatility__atr_norm,-0.5846651894080519,7,1.3582,0.291
volnorm_cs,True,21,val,62,0.028798116989729342,0.21849052244891212,0.5546286601650542,1,volatility__atr_norm,-0.5846651894080519,7,1.3582,0.3006
kalman+hpca,True,21,val,20,0.02241728978488689,0.1716546577717603,0.4144442616203238,0,hpc1_pc1,-0.5366430812755685,3,1.1967,0.0925
demean+hpca,True,21,val,22,0.021435619096523518,0.16146952652042848,0.3883734957531616,0,hpc2_pc1,-0.5391090512250001,2,1.2067,0.0834
raw+hpca,True,21,val,20,0.02184305688531899,0.165914785657005,0.3802505459518003,0,hpc1_pc1,-0.5405403764069011,3,1.1967,0.0924
demean+zca,True,21,val,62,0.01943254713745762,0.14424125988869407,0.3731326384408361,0,trend__acc52_104,-0.5007687513602375,6,1.3582,0.0453
raw+zca,True,21,val,62,0.01892863207813568,0.14119962237842354,0.3693054864302087,0,trend__acc52_104,-0.5139195963322379,6,1.3582,0.0453
kalman+zca,True,21,val,62,0.019875171362593837,0.14939046190159022,0.3661241988933022,0,trend__acc52_104,-0.5056066680594884,5,1.3582,0.0453
raw+pca,True,21,val,20,0.022747093658759453,0.16771971592783805,0.34748826246505987,0,pc2,-0.45794923217834177,0,1.1967,0.05
kalman+pca,True,21,val,16,0.02527902526949858,0.18974860763609067,0.33960030316803436,0,pc2,-0.4595726550795223,0,1.1751,0.0625
signal+demean+hpca,True,21,val,19,0.026844402054449976,0.18558468677657156,0.3314421883019555,0,hpc8_pc1,-0.545390941724497,6,1.1915,0.3033
ssa+zca,False,63,val,62,0.05248532088364913,0.40981102638988415,1.674835648167901,4,momentum__rsi_short_position,-3.561985601764402,0,1.3582,0.0161
signal+demean,True,63,val,62,0.04844816130694092,0.3588719301343221,0.8542646673229429,1,volume__ad_zvel26_52,-1.0653664009026766,7,1.3582,0.3572
kalman+none,True,63,val,62,0.04298700325463994,0.3206209794970894,0.8491983899258091,1,volume__ad_zvel26_52,-1.043124355611035,8,1.3582,0.3045
raw+none,True,63,val,62,0.04044266091213341,0.29990914369416743,0.8111420387614396,1,volume__ad_zvel26_52,-1.043124355611035,7,1.3582,0.3006
demean,True,63,val,62,0.04044266091213341,0.29990914369416743,0.8111420387614396,1,volume__ad_zvel26_52,-1.043124355611035,7,1.3582,0.291
volnorm_cs,True,63,val,62,0.04044266091213341,0.29990914369416743,0.8111420387614396,1,volume__ad_zvel26_52,-1.043124355611035,7,1.3582,0.3006
ssa+none,False,63,val,62,0.04782986975482764,0.3372725488057093,0.8064690857243735,1,volume__ad_zvel26_52,-1.007638855643542,6,1.3582,0.3154
ssa+hpca,False,63,val,23,0.040890350655558155,0.2963346684141401,0.7397433187708329,0,hpc7_pc3,-0.9584985214595196,7,1.2116,0.1153
signal+demean+hpca,True,63,val,19,0.043089520377504575,0.3078731668661932,0.5901801309505118,0,hpc1_pc1,-0.751017816630765,6,1.1915,0.3033
ssa+pca,False,63,val,15,0.049023980552280806,0.3589311065059474,0.5699622712633687,0,pc5,-0.7789774924097849,0,1.1693,0.0667
demean+zca,True,63,val,62,0.0219615809239103,0.17202734182597526,0.5656369957405489,0,volatility__vol100,-0.9007973510124144,6,1.3582,0.0453
kalman+zca,True,63,val,62,0.02335999119900283,0.18259244647184283,0.560489577812906,0,volatility__vol100,-0.7829427252175681,5,1.3582,0.0453
raw+zca,True,63,val,62,0.021988658503258023,0.17273521203350886,0.5479243906670749,0,volatility__vol100,-0.8523957643263539,6,1.3582,0.0453
kalman+hpca,True,63,val,20,0.03215100124556865,0.22925745450612522,0.5045503106953698,0,hpc2_pc7,0.7061676255753166,3,1.1967,0.0925
kalman+pca,True,63,val,16,0.03164811852481348,0.22496538232706262,0.4829754800196279,0,pc3,0.6454441300015856,0,1.1751,0.0625
raw+pca,True,63,val,20,0.027048939600334932,0.19268236227140628,0.47955494325436854,0,pc3,0.6541851062235599,0,1.1967,0.05
raw+hpca,True,63,val,20,0.02819452949581548,0.19814674008679,0.45968443301619716,0,hpc1_pc1,-0.5368056840135235,3,1.1967,0.0924
demean+hpca,True,63,val,22,0.025786319649498724,0.18127715038785733,0.4491223141693477,0,hpc2_pc1,-0.5400097215898925,2,1.2067,0.0834
