ticker,sector,beta_global,beta_sector
DNN,Energy,0.3993739628274738,0.26833249644202134
DOC,Real Estate,0.5595529490649678,0.5665686902606873
DORM,Consumer Cyclical,0.5245457348533573,0.1669623499434986
DQ,Technology,0.31104247627121395,0.2736923053779305
DRD,Basic Materials,0.22777631601316,0.7854192845641838
DRH,Real Estate,0.7112669913706859,0.07598823276772766
DSGX,Technology,0.42734406942032427,0.3009360996752769
DVA,Healthcare,0.29769393241489184,0.06177475824974255
DXPE,Industrials,0.5284539959060921,0.24041282171701686
EBS,Healthcare,0.3526702475223214,0.23987929778447323
ECC,Financial Services,0.3670978677457906,-0.10059540993802069
ECL,Basic Materials,0.5851488588407279,0.022311466772720563
ED,Utilities,0.19790962316919647,0.8447051144916953
EEX,Communication Services,0.35955305468779697,0.049453582082484224
EFOR,Technology,0.4744596828617484,-0.0474860195889875
EGBN,Financial Services,0.6041724721239249,0.49676519661263824
EGP,Real Estate,0.6437109453147977,0.4741637630672796
EIX,Utilities,0.42239866958896966,0.5701471899490119
EMBJ,Industrials,0.48221136087714456,0.055378897982497975
EMR,Industrials,0.7011291216709076,0.33820449318468326
ENPH,Technology,0.3946768542843617,0.2578381794340628
ENSG,Healthcare,0.44211007461739293,0.12426146128650833
ENVA,Financial Services,0.6857183559303226,0.15058807345064285
EPD,Energy,0.4684161238010137,0.5091134297733908
EPR,Real Estate,0.6058746817942245,0.35579904130551304
EQBK,Financial Services,0.6394524649885185,0.4882662991577188
EQIX,Real Estate,0.434116410243516,0.3442606151353351
EQT,Energy,0.37758404255490785,0.4694391052633719
ERIC,Technology,0.42108603968920866,0.12256497416449132
ESE,Technology,0.6243142819017121,0.04089960626444906
ESLT,Industrials,0.20477629414241036,0.09919694655228277
ETD,Consumer Cyclical,0.6075728686834893,0.29692210253777784
EVRG,Utilities,0.3560825862717751,0.7817940297254087
EW,Healthcare,0.33529107261941515,0.2760021238333079
EXK,Basic Materials,0.3418210746288573,0.7643157487474702
EXLS,Technology,0.5161905505655447,-0.015979761176380305
EXP,Basic Materials,0.7215232423356701,0.0036237288894815367
EXPD,Industrials,0.5247775992831708,0.09320454204764331
EXR,Real Estate,0.5041898821810197,0.4850066214533867
EXTR,Technology,0.5254889410528267,0.2729779228061753
EYE,Consumer Cyclical,0.461416879514645,0.19459242397951054
F,Consumer Cyclical,0.6040253778515604,0.14934643931418298
FCBC,Financial Services,0.6458816621860882,0.5671378043400569
FCF,Financial Services,0.719995966649585,0.555578347817204
FELE,Industrials,0.7090927923197444,0.25752877327229523
FFBC,Financial Services,0.7559422878964822,0.5171718154338646
FFIV,Technology,0.5506830043827836,0.3042642009507522
FHB,Financial Services,0.7440794123535373,0.45661654088898335
FHI,Financial Services,0.6084248106234209,0.06983433845293976
FHN,Financial Services,0.5506306504225139,0.3977974817413367
FINV,Financial Services,0.24908458577924145,-0.14430350412540652
FIS,Technology,0.464535101010102,-0.06526122331650806
FISI,Financial Services,0.6550268833971099,0.5281839082724729
FITB,Financial Services,0.7767846119455319,0.3605644114275633
FIVE,Consumer Cyclical,0.4925274624188329,0.33064542061677593
FIVN,Technology,0.42625814762040765,0.29911466101254075
FLEX,Technology,0.5670695473341966,0.39032001953212797
FLG,Financial Services,0.4659880088132052,0.268798638204185
FLO,Consumer Defensive,0.2988874574615161,0.6255444632846875
FMC,Basic Materials,0.36526058150997953,0.11085413804696087
FMNB,Financial Services,0.6322006137141841,0.5040015899913266
FMS,Healthcare,0.30929218259075586,0.11044247226265798
FN,Technology,0.42241497808551687,0.46277678538074224
FND,Consumer Cyclical,0.6362478914607311,0.44471577969469167
FPI,Real Estate,0.4447149513782256,0.2123103751983227
FRBA,Financial Services,0.5721714353242271,0.3779264812245198
FRPT,Consumer Defensive,0.40381721907315354,0.026489884559195945
FRST,Financial Services,0.6164816160032155,0.432156811120181
