representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,10,volatility__vol_park7,-0.008348343788842267,0.19687175738100138,-0.04240498434057207,2551,255.1,-0.6772860591990314,0.49884063269573475
base,10,momentum__willr_short_velocity,-0.005773147521330593,0.13618697831778626,-0.04239133280319363,2551,255.1,-0.6770680188885153,0.498978725435567
base,10,momentum__rsi_short_velocity,-0.005523809737745461,0.13508825153438464,-0.040890378511853495,2551,255.1,-0.6530950017343266,0.5142855129240571
base,10,momentum__rsi_short_acceleration,0.0053696966881003946,0.1330316819000496,0.040364044199146465,2551,255.1,0.6446884689170627,0.5197106781674872
base,10,momentum__cci_long_velocity,-0.005498610895920556,0.13625145384184795,-0.04035634659944983,2551,255.1,-0.6445655240075221,0.5197902405868807
base,10,volatility__atr_norm,-0.008376558435128939,0.21445322441012238,-0.03906007222866246,2551,255.1,-0.6238616238909671,0.5332781135521025
base,10,volatility__vol20,-0.007847841971486172,0.2029868886712511,-0.038661817139313874,2551,255.1,-0.6175007532476832,0.537457459796154
base,10,volatility__vol7,-0.0063655272592246905,0.17989493099826928,-0.0353846949655626,2551,255.1,-0.5651590486794739,0.5724642243821798
base,10,volatility__bb_bandwidth,-0.006130081695850447,0.1759633985538695,-0.03483725448718122,2551,255.1,-0.5564154113449774,0.5784165768337192
base,10,momentum__willr_long_acceleration,0.0034353230916162963,0.13169696028800754,0.026085059853345152,2551,255.1,0.4166266694063979,0.6773032172791116
base,10,momentum__mfi_short_acceleration,0.0029445072070274176,0.11914922202561049,0.02471276905521474,2551,255.1,0.39470864629675184,0.6933890207075039
base,10,candle__skew_log,0.0024742524841334904,0.12038200058988034,0.020553342459914917,2551,255.1,0.3282749076439372,0.742974164606058
base,10,candle__body_size,-0.0018746983435842738,0.10270389506123374,-0.018253429847685406,2551,255.1,-0.29154104784272733,0.770875412869571
base,10,momentum__cci_short_velocity,-0.002481801278877275,0.13645463111481101,-0.018187739460371426,2551,255.1,-0.29049185081452383,0.7716769251603759
base,10,trend__velocity_52/104,0.0033238672999241227,0.18836725202383056,0.017645674947275956,2551,255.1,0.2818340775924545,0.7783001363844814
base,10,momentum__cci_short_acceleration,0.0021878716532565115,0.132757836394896,0.016480169552843257,2551,255.1,0.26321879998191017,0.7925952528949275
base,10,candle__gap_log,-0.00253120323637344,0.15427486361601575,-0.01640710078780888,2551,255.1,-0.262051756609763,0.7934938491730193
base,10,momentum__cmf_long_acceleration,-0.0016722892315000496,0.11979615904788536,-0.013959456169471978,2551,255.1,-0.22295834333176254,0.8237470507138792
base,10,momentum__cmf_short_acceleration,-0.0015479544710616266,0.11316619885299332,-0.013678593844726297,2551,255.1,-0.2184724523436487,0.8272363814872389
base,10,momentum__rsi_long_acceleration,-0.0016417494923114432,0.13455795606333146,-0.012201058490653146,2551,255.1,-0.19487347894820306,0.8456477183048801
base,10,trend__adx,-0.0008331112365368985,0.10621097654386806,-0.00784392784669295,2551,255.1,-0.12528204083889402,0.9003993304404917
base,10,momentum__willr_short_acceleration,0.0007763822854075941,0.1318250296773199,0.005889490693140867,2551,255.1,0.0940660633243129,0.9251308088444418
base,10,momentum__mfi_long_acceleration,-0.00045132714499949376,0.11984134420392197,-0.0037660387406162244,2551,255.1,-0.06015060675266919,0.9520829651370223
