ticker,shift,sector,cap_bucket,market_cap
IRWD,0,Healthcare,small,679850000.0
ITGR,0,Healthcare,mid,3190000000.0
ITT,0,Industrials,large,17260000000.0
ITW,0,Industrials,large,77020000000.0
IVZ,0,Financial Services,large,11600000000.0
IX,0,Financial Services,large,41720000000.0
JBHT,0,Industrials,large,26430000000.0
JBSS,0,Consumer Defensive,small,1020000000.0
JBTM,0,Industrials,mid,7250000000.0
JHX,0,Basic Materials,large,15010000000.0
JKHY,0,Technology,mid,9590000000.0
JLL,0,Real Estate,large,14620000000.0
JNJ,0,Healthcare,large,613020000000.0
JOYY,0,Communication Services,mid,3360000000.0
JPM,0,Financial Services,large,881690000000.0
KBH,0,Consumer Cyclical,mid,3810000000.0
KBR,0,Industrials,mid,4230000000.0000005
KE,0,Industrials,small,589200000.0
KEP,0,Utilities,large,15530000000.0
KFRC,0,Industrials,small,828350000.0
KGC,0,Basic Materials,large,28930000000.0
KHC,0,Consumer Defensive,large,28100000000.0
KLIC,0,Technology,mid,6550000000.0
KMPR,0,Financial Services,small,1580000000.0
KN,0,Technology,mid,3430000000.0
KNOP,0,Energy,small,344840000.0
KNX,0,Industrials,large,12450000000.0
KODK,0,Industrials,small,934110000.0
KOF,0,Consumer Defensive,large,22500000000.0
KOP,0,Basic Materials,small,867740000.0
KOPN,0,Technology,small,673530000.0
KOS,0,Energy,small,1290000000.0
KR,-6,Consumer Defensive,large,35370000000.0
KRC,0,Real Estate,mid,4470000000.0
KREF,0,Real Estate,small,461030000.0
KRNY,0,Financial Services,small,585280000.0
L,0,Financial Services,large,23300000000.0
LAMR,0,Real Estate,large,15840000000.0
LAND,0,Real Estate,small,371410000.0
LAUR,0,Consumer Defensive,mid,5200000000.0
LAZ,0,Financial Services,mid,3950000000.0
LBRDA,0,Communication Services,mid,6610000000.0
LBTYK,0,Communication Services,mid,3550000000.0
LCII,0,Consumer Cyclical,small,2330000000.0
LEA,0,Consumer Cyclical,mid,6860000000.0
LECO,0,Industrials,large,14600000000.0
LGIH,0,Consumer Cyclical,small,1530000000.0
LH,0,Healthcare,large,22260000000.0
LII,0,Industrials,large,19620000000.0
LILA,0,Communication Services,small,1440000000.0
LIN,0,Basic Materials,large,240240000000.0
LITE,0,Technology,large,63560000000.0
