i,j,c0,c_best,best_lag,gain
1,68,0.28826943751824885,0.28826943751824885,0,0.0
1,69,0.2656399470852979,0.2656399470852979,0,0.0
1,70,0.15522886682294704,0.15522886682294704,0,0.0
1,71,0.1833919955895426,0.1833919955895426,0,0.0
1,72,0.2811242187792789,0.2811242187792789,0,0.0
1,73,0.22662392495255398,0.22662392495255398,0,0.0
1,74,0.2614876868787569,0.2614876868787569,0,0.0
1,75,0.148461851887313,0.148461851887313,0,0.0
1,76,0.1338886455106906,0.1338886455106906,0,0.0
1,77,0.10670073053351689,0.10670073053351689,0,0.0
1,78,0.21455351073766177,0.21455351073766177,0,0.0
1,79,0.19051087812773573,0.19051087812773573,0,0.0
1,80,0.13701167392514163,0.13701167392514163,0,0.0
1,81,0.1540911619716771,0.1540911619716771,0,0.0
1,82,0.10977832021842363,0.10977832021842363,0,0.0
